model,validation_auc,precision,recall,f1
hist_gradient_boosting_sklearn,0.7756049448373887,0.2687819588304707,0.4092633260131763,0.32446976891421336
catboost,0.7693277388342149,0.2527404852814386,0.40966260730684767,0.31261425959780625
logistic_regression_sklearn,0.7670664570686065,0.26091516979153007,0.39728488720303456,0.31497309275087054
logistic_regression_numpy,0.764095329719918,0.2531794939032385,0.3855060890397285,0.30563469452358344
random_forest_sklearn,0.7496675912906808,0.2176954343510729,0.4597724096626073,0.2954837054144213
gradient_boosted_stumps_numpy,0.7184483089570716,0.20751400637152587,0.3771211818726293,0.26771541950113376
